Date,Open,Close,delta,% delta,mean,median,
7/24/2023,4543.390137,4554.640137,18.300,0.40%,,,
7/25/2023,4555.189941,4567.459961,12.820,0.28%,,,
7/26/2023,4558.959961,4566.75,-0.710,-0.02%,,,
7/27/2023,4598.259766,4537.410156,-29.340,-0.64%,,,
7/28/2023,4565.75,4582.22998,44.820,0.99%,,,
7/31/2023,4584.819824,4588.959961,6.730,0.15%,,,
8/1/2023,4578.830078,4576.72998,-12.230,-0.27%,,,
8/2/2023,4550.930176,4513.390137,-63.340,-1.38%,,,
8/3/2023,4494.27002,4501.890137,-11.500,-0.25%,,,
8/4/2023,4513.959961,4478.029785,-23.860,-0.53%,,,
8/7/2023,4491.580078,4518.439941,40.410,0.90%,,,
8/8/2023,4498.029785,4499.379883,-19.060,-0.42%,,,
8/9/2023,4501.569824,4467.709961,-31.670,-0.70%,,,
8/10/2023,4487.160156,4468.830078,1.120,0.03%,,,
8/11/2023,4450.689941,4464.049805,-4.780,-0.11%,,,
8/14/2023,4458.129883,4489.720215,25.670,0.58%,,,
8/15/2023,4478.870117,4437.859863,-51.860,-1.16%,,,
8/16/2023,4433.790039,4404.330078,-33.530,-0.76%,,,
8/17/2023,4416.319824,4370.359863,-33.970,-0.77%,,,
8/18/2023,4344.879883,4369.709961,-0.650,-0.01%,,,
8/21/2023,4380.279785,4399.77002,30.060,0.69%,,,
8/22/2023,4415.330078,4387.549805,-12.220,-0.28%,,,
8/23/2023,4396.439941,4436.009766,48.460,1.10%,,,
8/24/2023,4455.160156,4376.310059,-59.700,-1.35%,,,
8/25/2023,4389.379883,4405.709961,29.400,0.67%,,,
8/28/2023,4426.029785,4433.310059,27.600,0.63%,,,
8/29/2023,4432.75,4497.629883,64.320,1.45%,,,
8/30/2023,4500.339844,4514.870117,17.240,0.38%,,,
8/31/2023,4517.009766,4507.660156,-7.210,-0.16%,,,
9/1/2023,4530.600098,4515.77002,8.110,0.18%,,,
9/5/2023,4510.060059,4496.830078,-18.940,-0.42%,,,
9/6/2023,4490.350098,4465.47998,-31.350,-0.70%,,,
9/7/2023,4434.549805,4451.140137,-14.340,-0.32%,,,
9/8/2023,4451.299805,4457.490234,6.350,0.14%,,,
9/11/2023,4480.97998,4487.459961,29.970,0.67%,,,
9/12/2023,4473.27002,4461.899902,-25.560,-0.57%,,,
9/13/2023,4462.649902,4467.439941,5.540,0.12%,,,
9/14/2023,4487.779785,4505.100098,37.660,0.84%,,,
9/15/2023,4497.97998,4450.319824,-54.780,-1.22%,,,
9/18/2023,4445.129883,4453.529785,3.210,0.07%,,,
9/19/2023,4445.410156,4443.950195,-9.580,-0.22%,,,
9/20/2023,4452.810059,4402.200195,-41.750,-0.94%,,,
9/21/2023,4374.359863,4330,-72.200,-1.64%,,,
9/22/2023,4341.740234,4320.060059,-9.940,-0.23%,,,
9/25/2023,4310.620117,4337.439941,17.380,0.40%,,,
9/26/2023,4312.879883,4273.529785,-63.910,-1.47%,,,
9/27/2023,4282.629883,4274.509766,0.980,0.02%,,,
9/28/2023,4269.649902,4299.700195,25.190,0.59%,,,
9/29/2023,4328.180176,4288.049805,-11.650,-0.27%,,,
10/2/2023,4284.52002,4288.390137,0.340,0.01%,,,
